Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval
254,d,a,330.0,3,2008,1,1,2012,"Mar,Jun,Sept,Dec"
255,c,c,4630.0,3,2011,1,35,2011,"Feb,May,Aug,Nov"
256,a,c,80.0,9,2005,1,10,2014,"Mar,Jun,Sept,Dec"
258,a,a,27190.0,7,2010,1,37,2009,"Jan,Apr,Jul,Oct"
261,d,c,15340.0,4,2015,1,39,2009,"Jan,Apr,Jul,Oct"
263,a,c,1140.0,5,2013,1,40,2014,"Jan,Apr,Jul,Oct"
266,a,c,360.0,3,2014,1,9,2011,"Mar,Jun,Sept,Dec"
272,a,a,16180.0,7,2003,1,14,2011,"Jan,Apr,Jul,Oct"
275,d,a,300.0,5,2014,1,40,2014,"Jan,Apr,Jul,Oct"
276,a,a,2960.0,10,2014,1,36,2013,"Mar,Jun,Sept,Dec"
280,d,c,18640.0,9,2013,1,10,2014,"Mar,Jun,Sept,Dec"
287,c,a,2740.0,5,2009,1,40,2014,"Jan,Apr,Jul,Oct"
295,a,a,210.0,11,2000,1,36,2013,"Mar,Jun,Sept,Dec"
296,a,a,9580.0,5,2007,1,45,2014,"Feb,May,Aug,Nov"
300,a,c,120.0,4,2009,1,1,2012,"Jan,Apr,Jul,Oct"
302,d,c,2190.0,12,2007,1,9,2011,"Mar,Jun,Sept,Dec"
303,a,a,15430.0,11,2012,1,18,2011,"Feb,May,Aug,Nov"
305,c,c,2470.0,2,2005,1,31,2013,"Mar,Jun,Sept,Dec"
306,a,a,5100.0,4,2007,1,40,2014,"Jan,Apr,Jul,Oct"
308,a,a,1070.0,12,2006,1,13,2010,"Jan,Apr,Jul,Oct"
314,a,a,3560.0,10,2001,1,31,2013,"Feb,May,Aug,Nov"
317,d,a,3140.0,7,2013,1,14,2011,"Jan,Apr,Jul,Oct"
319,a,c,570.0,9,2012,1,27,2012,"Mar,Jun,Sept,Dec"
321,c,c,8140.0,11,2013,1,10,2014,"Mar,Jun,Sept,Dec"
322,a,a,17500.0,4,2001,1,37,2009,"Jan,Apr,Jul,Oct"
323,d,c,8400.0,4,2012,1,5,2013,"Feb,May,Aug,Nov"
325,a,c,350.0,3,2011,1,22,2011,"Feb,May,Aug,Nov"
326,d,a,10070.0,5,2015,1,31,2013,"Feb,May,Aug,Nov"
329,a,a,1310.0,6,1990,1,22,2012,"Mar,Jun,Sept,Dec"
334,d,c,4040.0,8,2008,1,18,2013,"Mar,Jun,Sept,Dec"
337,d,c,10600.0,7,2005,1,45,2014,"Feb,May,Aug,Nov"
343,d,a,18650.0,4,2004,1,14,2014,"Jan,Apr,Jul,Oct"
344,a,c,300.0,4,2011,1,14,2011,"Jan,Apr,Jul,Oct"
347,d,c,9360.0,7,2013,1,22,2012,"Mar,Jun,Sept,Dec"
351,a,a,5290.0,11,2012,1,5,2013,"Feb,May,Aug,Nov"
356,d,c,8970.0,12,2007,1,22,2012,"Feb,May,Aug,Nov"
361,c,c,4490.0,5,2014,1,5,2013,"Feb,May,Aug,Nov"
368,d,c,1450.0,4,2005,1,45,2009,"Feb,May,Aug,Nov"
370,d,a,8250.0,10,2000,1,31,2009,"Jan,Apr,Jul,Oct"
371,d,c,1970.0,7,2009,1,45,2014,"Feb,May,Aug,Nov"
372,d,c,4880.0,8,2010,1,18,2014,"Jan,Apr,Jul,Oct"
375,a,c,15710.0,2,2013,1,37,2009,"Jan,Apr,Jul,Oct"
377,a,c,100.0,6,2010,1,18,2010,"Feb,May,Aug,Nov"
380,a,a,2240.0,5,2013,1,10,2014,"Mar,Jun,Sept,Dec"
381,a,a,1800.0,11,2006,1,5,2013,"Feb,May,Aug,Nov"
386,d,c,1460.0,4,2014,1,31,2013,"Jan,Apr,Jul,Oct"
391,a,a,460.0,11,2014,1,31,2013,"Feb,May,Aug,Nov"
399,a,a,5360.0,9,2012,1,40,2011,"Jan,Apr,Jul,Oct"
400,a,a,70.0,11,2004,1,14,2011,"Jan,Apr,Jul,Oct"
401,a,c,9200.0,10,2009,1,14,2012,"Jan,Apr,Jul,Oct"
402,c,c,5830.0,9,2011,1,13,2010,"Jan,Apr,Jul,Oct"
405,a,a,1080.0,4,2008,1,14,2011,"Jan,Apr,Jul,Oct"
406,d,c,8240.0,3,2001,1,10,2013,"Feb,May,Aug,Nov"
407,a,a,5890.0,10,2003,1,14,2011,"Feb,May,Aug,Nov"
410,c,a,40.0,11,2011,1,22,2012,"Mar,Jun,Sept,Dec"
418,a,a,1060.0,5,2009,1,27,2011,"Feb,May,Aug,Nov"
421,c,c,3530.0,6,2012,1,35,2012,"Mar,Jun,Sept,Dec"
427,a,c,70.0,7,2005,1,13,2010,"Jan,Apr,Jul,Oct"
428,d,a,2960.0,12,2014,1,23,2015,"Mar,Jun,Sept,Dec"
429,d,c,16350.0,7,2005,1,31,2013,"Jan,Apr,Jul,Oct"
434,a,a,13020.0,8,2003,1,40,2014,"Jan,Apr,Jul,Oct"
440,d,a,3900.0,4,2005,1,45,2009,"Feb,May,Aug,Nov"
446,a,a,340.0,10,2000,1,31,2013,"Feb,May,Aug,Nov"
449,a,c,120.0,12,2014,1,37,2009,"Jan,Apr,Jul,Oct"
450,c,a,5780.0,11,1994,1,10,2014,"Mar,Jun,Sept,Dec"
451,a,a,2460.0,4,2009,1,13,2010,"Jan,Apr,Jul,Oct"
452,a,c,1850.0,8,2013,1,5,2011,"Feb,May,Aug,Nov"
459,a,a,250.0,9,2008,1,5,2013,"Feb,May,Aug,Nov"
461,d,c,1790.0,7,2013,1,40,2013,"Jan,Apr,Jul,Oct"
477,d,a,770.0,7,2010,1,35,2010,"Jan,Apr,Jul,Oct"
479,a,a,320.0,12,2005,1,9,2011,"Feb,May,Aug,Nov"
483,a,c,2310.0,9,2011,1,13,2010,"Jan,Apr,Jul,Oct"
487,d,c,2180.0,9,2012,1,40,2012,"Jan,Apr,Jul,Oct"
489,a,a,14960.0,11,2013,1,37,2009,"Jan,Apr,Jul,Oct"
490,a,a,660.0,4,2013,1,40,2014,"Jan,Apr,Jul,Oct"
492,a,a,1740.0,3,2008,1,40,2012,"Jan,Apr,Jul,Oct"
500,d,c,10690.0,9,2007,1,5,2013,"Jan,Apr,Jul,Oct"
502,a,a,220.0,2,2002,1,37,2009,"Jan,Apr,Jul,Oct"
503,d,c,13080.0,9,2006,1,14,2011,"Jan,Apr,Jul,Oct"
506,a,a,1850.0,12,2014,1,18,2011,"Feb,May,Aug,Nov"
507,a,c,9070.0,4,2011,1,37,2009,"Jan,Apr,Jul,Oct"
509,a,a,4740.0,7,2008,1,37,2009,"Jan,Apr,Jul,Oct"
514,c,c,1200.0,7,2012,1,27,2012,"Jan,Apr,Jul,Oct"
518,d,c,3330.0,3,2015,1,13,2010,"Jan,Apr,Jul,Oct"
519,c,c,2510.0,8,2009,1,1,2012,"Jan,Apr,Jul,Oct"
521,d,a,18610.0,11,2002,1,48,2011,"Mar,Jun,Sept,Dec"
522,d,c,7160.0,11,2012,1,9,2011,"Jan,Apr,Jul,Oct"
534,d,a,1200.0,9,2009,1,45,2009,"Jan,Apr,Jul,Oct"
536,a,c,4700.0,9,2002,1,31,2013,"Feb,May,Aug,Nov"
537,a,a,600.0,5,2002,1,1,2012,"Jan,Apr,Jul,Oct"
539,a,a,770.0,5,2013,1,40,2014,"Jan,Apr,Jul,Oct"
542,a,a,7280.0,9,2012,1,1,2013,"Jan,Apr,Jul,Oct"
544,a,a,250.0,12,2001,1,13,2010,"Jan,Apr,Jul,Oct"
545,a,c,5020.0,5,2006,1,18,2014,"Feb,May,Aug,Nov"
547,d,c,8990.0,11,2009,1,35,2010,"Mar,Jun,Sept,Dec"
552,a,a,4260.0,7,2008,1,37,2009,"Jan,Apr,Jul,Oct"
553,c,a,3040.0,9,2002,1,13,2010,"Jan,Apr,Jul,Oct"
555,d,a,1560.0,1,2014,1,10,2013,"Mar,Jun,Sept,Dec"
559,d,a,3910.0,11,2006,1,5,2013,"Feb,May,Aug,Nov"
563,a,a,700.0,3,2015,1,10,2014,"Jan,Apr,Jul,Oct"
567,c,a,1010.0,9,2012,1,18,2011,"Feb,May,Aug,Nov"
571,d,a,2110.0,11,1995,1,40,2014,"Jan,Apr,Jul,Oct"
572,d,c,9230.0,4,2004,1,37,2009,"Jan,Apr,Jul,Oct"
573,a,a,1190.0,11,2012,1,36,2013,"Jan,Apr,Jul,Oct"
575,a,a,960.0,5,2008,1,13,2010,"Jan,Apr,Jul,Oct"
587,d,c,330.0,9,2006,1,14,2011,"Jan,Apr,Jul,Oct"
590,d,c,4520.0,9,2010,1,31,2013,"Jan,Apr,Jul,Oct"
597,a,a,150.0,9,2008,1,1,2012,"Mar,Jun,Sept,Dec"
598,c,a,550.0,12,2013,1,40,2014,"Jan,Apr,Jul,Oct"
600,d,c,17340.0,6,2010,1,9,2011,"Feb,May,Aug,Nov"
601,d,a,8220.0,4,2014,1,14,2011,"Jan,Apr,Jul,Oct"
602,a,a,2710.0,7,2001,1,22,2012,"Mar,Jun,Sept,Dec"
603,a,a,340.0,4,2007,1,13,2010,"Jan,Apr,Jul,Oct"
605,d,a,10310.0,4,2003,1,37,2009,"Jan,Apr,Jul,Oct"
607,a,a,350.0,8,1999,1,14,2011,"Jan,Apr,Jul,Oct"
608,a,c,18370.0,2,2013,1,14,2011,"Jan,Apr,Jul,Oct"
611,a,a,8080.0,12,2002,1,40,2014,"Jan,Apr,Jul,Oct"
612,d,c,2490.0,11,2012,1,31,2009,"Jan,Apr,Jul,Oct"
613,c,a,250.0,6,2007,1,14,2011,"Jan,Apr,Jul,Oct"
616,a,c,3040.0,8,2011,1,35,2010,"Mar,Jun,Sept,Dec"
619,a,a,1600.0,6,2006,1,45,2009,"Feb,May,Aug,Nov"
623,a,a,4080.0,3,2011,1,13,2010,"Jan,Apr,Jul,Oct"
625,a,a,1170.0,4,2011,1,22,2012,"Feb,May,Aug,Nov"
629,d,a,510.0,7,2014,1,23,2015,"Mar,Jun,Sept,Dec"
633,d,a,11640.0,4,2005,1,22,2011,"Jan,Apr,Jul,Oct"
636,c,a,720.0,10,2004,1,13,2010,"Jan,Apr,Jul,Oct"
641,a,c,610.0,12,2003,1,36,2013,"Mar,Jun,Sept,Dec"
642,c,c,530.0,4,2005,1,35,2010,"Mar,Jun,Sept,Dec"
643,a,a,230.0,6,2010,1,18,2010,"Feb,May,Aug,Nov"
644,c,a,4030.0,12,2004,1,14,2011,"Jan,Apr,Jul,Oct"
650,a,a,1420.0,10,2012,1,40,2014,"Jan,Apr,Jul,Oct"
653,d,c,7520.0,7,2014,1,45,2009,"Feb,May,Aug,Nov"
655,d,c,960.0,11,2012,1,5,2013,"Feb,May,Aug,Nov"
656,d,a,410.0,4,2009,1,13,2010,"Jan,Apr,Jul,Oct"
657,c,c,80.0,1,2006,1,10,2014,"Jan,Apr,Jul,Oct"
660,a,a,1200.0,11,2006,1,40,2014,"Jan,Apr,Jul,Oct"
665,a,a,90.0,12,2012,1,14,2011,"Jan,Apr,Jul,Oct"
669,d,a,17080.0,7,2012,1,31,2013,"Jan,Apr,Jul,Oct"
671,a,c,2070.0,2,2008,1,39,2010,"Jan,Apr,Jul,Oct"
674,a,a,2640.0,12,2005,1,31,2013,"Feb,May,Aug,Nov"
675,a,a,2100.0,8,2013,1,14,2011,"Jan,Apr,Jul,Oct"
677,d,a,1740.0,6,2014,1,45,2009,"Feb,May,Aug,Nov"
685,a,a,650.0,11,2013,1,37,2009,"Jan,Apr,Jul,Oct"
688,a,a,18760.0,8,2015,1,14,2011,"Jan,Apr,Jul,Oct"
694,a,c,460.0,11,2012,1,40,2014,"Jan,Apr,Jul,Oct"
695,a,a,550.0,7,2011,1,1,2012,"Jan,Apr,Jul,Oct"
701,d,a,1450.0,3,2012,1,14,2011,"Jan,Apr,Jul,Oct"
702,a,a,8550.0,9,2001,1,45,2009,"Feb,May,Aug,Nov"
705,a,a,4140.0,9,2012,1,18,2011,"Feb,May,Aug,Nov"
706,d,a,7830.0,9,2014,1,10,2014,"Mar,Jun,Sept,Dec"
708,c,c,11470.0,10,2009,1,18,2014,"Jan,Apr,Jul,Oct"
710,d,a,1500.0,9,2008,1,14,2011,"Jan,Apr,Jul,Oct"
711,d,a,17110.0,3,2007,1,5,2010,"Jan,Apr,Jul,Oct"
712,a,a,4870.0,9,2007,1,45,2009,"Jan,Apr,Jul,Oct"
714,d,c,12070.0,10,2005,1,10,2013,"Jan,Apr,Jul,Oct"
716,d,a,3200.0,1,2008,1,22,2011,"Jan,Apr,Jul,Oct"
720,a,c,15320.0,3,2011,1,14,2013,"Feb,May,Aug,Nov"
721,a,c,3590.0,9,2012,1,22,2012,"Mar,Jun,Sept,Dec"
723,d,c,5650.0,9,2008,1,5,2013,"Feb,May,Aug,Nov"
737,a,a,100.0,5,2007,1,31,2013,"Jan,Apr,Jul,Oct"
739,d,c,2770.0,6,2008,1,22,2011,"Jan,Apr,Jul,Oct"
743,a,a,6710.0,11,2003,1,14,2012,"Jan,Apr,Jul,Oct"
744,a,a,1370.0,12,2011,1,40,2014,"Jan,Apr,Jul,Oct"
745,a,a,17650.0,11,2013,1,37,2009,"Jan,Apr,Jul,Oct"
746,d,c,4330.0,2,2011,1,35,2011,"Mar,Jun,Sept,Dec"
748,d,a,2380.0,3,2010,1,14,2011,"Jan,Apr,Jul,Oct"
749,a,a,3410.0,8,2011,1,14,2015,"Jan,Apr,Jul,Oct"
750,d,a,8670.0,2,2002,1,14,2011,"Jan,Apr,Jul,Oct"
752,a,a,970.0,3,2013,1,31,2013,"Feb,May,Aug,Nov"
753,d,c,540.0,11,2012,1,35,2010,"Mar,Jun,Sept,Dec"
754,c,c,380.0,5,2008,1,10,2014,"Mar,Jun,Sept,Dec"
759,a,a,110.0,11,2012,1,31,2013,"Feb,May,Aug,Nov"
765,a,c,25430.0,5,1999,1,37,2009,"Jan,Apr,Jul,Oct"
775,d,c,6970.0,12,2005,1,22,2011,"Jan,Apr,Jul,Oct"
776,c,a,700.0,4,2009,1,14,2011,"Jan,Apr,Jul,Oct"
777,d,c,8250.0,10,2004,1,10,2013,"Mar,Jun,Sept,Dec"
778,a,a,340.0,6,2003,1,40,2014,"Jan,Apr,Jul,Oct"
782,c,c,5390.0,8,2003,1,1,2012,"Jan,Apr,Jul,Oct"
784,a,a,560.0,10,2014,1,10,2014,"Jan,Apr,Jul,Oct"
785,d,c,970.0,7,2005,1,31,2013,"Feb,May,Aug,Nov"
786,a,a,290.0,11,2006,1,5,2013,"Feb,May,Aug,Nov"
792,d,a,17280.0,10,2009,1,18,2011,"Feb,May,Aug,Nov"
797,a,a,2090.0,10,2012,1,40,2014,"Jan,Apr,Jul,Oct"
805,d,a,24770.0,10,2011,1,10,2014,"Mar,Jun,Sept,Dec"
815,a,a,590.0,1,1900,1,40,2014,"Jan,Apr,Jul,Oct"
822,a,c,410.0,11,2010,1,48,2010,"Mar,Jun,Sept,Dec"
825,a,a,380.0,5,2011,1,40,2014,"Jan,Apr,Jul,Oct"
833,d,c,3290.0,12,1999,1,35,2010,"Mar,Jun,Sept,Dec"
835,a,a,2890.0,12,2007,1,10,2014,"Mar,Jun,Sept,Dec"
844,a,a,2030.0,9,2012,1,18,2011,"Feb,May,Aug,Nov"
845,d,a,7860.0,11,2005,1,14,2011,"Jan,Apr,Jul,Oct"
846,a,c,8860.0,4,2004,1,37,2009,"Jan,Apr,Jul,Oct"
848,a,c,370.0,7,2007,1,14,2011,"Jan,Apr,Jul,Oct"
850,d,a,1120.0,5,2007,1,31,2013,"Jan,Apr,Jul,Oct"
852,c,a,940.0,4,2004,1,14,2011,"Jan,Apr,Jul,Oct"
857,c,a,6270.0,8,2005,1,23,2014,"Mar,Jun,Sept,Dec"
858,a,a,3370.0,12,2008,1,40,2014,"Jan,Apr,Jul,Oct"
862,a,c,2840.0,3,2010,1,14,2011,"Jan,Apr,Jul,Oct"
864,a,a,1020.0,10,2012,1,45,2009,"Feb,May,Aug,Nov"
868,d,c,1360.0,8,2005,1,10,2014,"Jan,Apr,Jul,Oct"
869,c,a,230.0,10,2001,1,14,2011,"Jan,Apr,Jul,Oct"
872,a,c,3860.0,9,2014,1,23,2015,"Mar,Jun,Sept,Dec"
875,d,a,5070.0,11,2007,1,18,2015,"Feb,May,Aug,Nov"
876,a,a,21790.0,4,2005,1,18,2015,"Feb,May,Aug,Nov"
881,a,a,180.0,3,2008,1,31,2013,"Feb,May,Aug,Nov"
888,d,a,4450.0,6,2012,1,35,2012,"Mar,Jun,Sept,Dec"
897,c,c,3290.0,1,2007,1,5,2013,"Feb,May,Aug,Nov"
900,a,a,3920.0,4,2005,1,40,2014,"Jan,Apr,Jul,Oct"
902,a,a,310.0,5,2015,1,40,2014,"Jan,Apr,Jul,Oct"
904,d,c,570.0,7,2013,1,14,2011,"Jan,Apr,Jul,Oct"
908,a,a,1980.0,7,2010,1,37,2009,"Jan,Apr,Jul,Oct"
914,c,c,2640.0,4,2011,1,22,2012,"Mar,Jun,Sept,Dec"
915,d,c,650.0,3,2013,1,40,2014,"Jan,Apr,Jul,Oct"
920,a,a,850.0,2,2012,1,40,2014,"Jan,Apr,Jul,Oct"
924,a,a,6420.0,4,2011,1,1,2012,"Jan,Apr,Jul,Oct"
925,c,a,470.0,3,2007,1,1,2012,"Jan,Apr,Jul,Oct"
926,d,c,5150.0,3,2011,1,13,2010,"Jan,Apr,Jul,Oct"
931,a,c,1480.0,9,2011,1,1,2012,"Jan,Apr,Jul,Oct"
941,a,a,1200.0,12,2011,1,31,2013,"Jan,Apr,Jul,Oct"
946,a,a,2220.0,12,2011,1,14,2015,"Jan,Apr,Jul,Oct"
947,a,a,460.0,3,2014,1,13,2010,"Jan,Apr,Jul,Oct"
953,a,a,19830.0,4,2006,1,22,2011,"Mar,Jun,Sept,Dec"
954,a,a,390.0,2,2013,1,10,2014,"Jan,Apr,Jul,Oct"
955,d,c,1690.0,7,2009,1,36,2013,"Mar,Jun,Sept,Dec"
956,a,a,2330.0,10,2014,1,18,2011,"Feb,May,Aug,Nov"
967,a,c,3560.0,9,2013,1,36,2013,"Jan,Apr,Jul,Oct"
969,a,c,600.0,11,1999,1,10,2013,"Jan,Apr,Jul,Oct"
970,a,a,910.0,12,2014,1,37,2009,"Jan,Apr,Jul,Oct"
971,c,a,1140.0,5,2011,1,14,2012,"Mar,Jun,Sept,Dec"
974,a,a,150.0,3,2011,1,40,2014,"Jan,Apr,Jul,Oct"
977,a,a,520.0,9,2005,1,13,2010,"Jan,Apr,Jul,Oct"
979,a,c,2270.0,11,2005,1,14,2011,"Jan,Apr,Jul,Oct"
983,a,a,40.0,3,2014,1,1,2014,"Jan,Apr,Jul,Oct"
985,c,c,490.0,5,2007,1,13,2010,"Jan,Apr,Jul,Oct"
986,a,a,620.0,10,2014,1,18,2014,"Feb,May,Aug,Nov"
989,a,a,1640.0,6,2006,1,40,2011,"Jan,Apr,Jul,Oct"
993,d,c,3460.0,10,2013,1,10,2014,"Jan,Apr,Jul,Oct"
994,a,a,2290.0,7,2011,1,1,2012,"Jan,Apr,Jul,Oct"
996,c,a,2870.0,7,2015,1,13,2010,"Jan,Apr,Jul,Oct"
997,d,c,5840.0,7,2010,1,37,2009,"Jan,Apr,Jul,Oct"
998,a,a,780.0,9,2005,1,5,2013,"Feb,May,Aug,Nov"
999,d,c,15140.0,2,2002,1,37,2009,"Jan,Apr,Jul,Oct"
1000,a,c,2230.0,5,2009,1,40,2014,"Jan,Apr,Jul,Oct"
1003,a,a,170.0,7,2013,1,27,2013,"Jan,Apr,Jul,Oct"
1006,c,c,3890.0,11,2006,1,5,2013,"Feb,May,Aug,Nov"
1009,a,a,230.0,7,2004,1,10,2014,"Jan,Apr,Jul,Oct"
1010,d,c,4610.0,6,2010,1,18,2010,"Feb,May,Aug,Nov"
1011,a,c,490.0,9,2012,1,18,2011,"Feb,May,Aug,Nov"
1012,d,c,6330.0,6,2004,1,39,2010,"Jan,Apr,Jul,Oct"
1013,a,a,630.0,2,2015,1,31,2013,"Feb,May,Aug,Nov"
1015,d,c,9910.0,12,2010,1,9,2011,"Mar,Jun,Sept,Dec"
1019,d,c,2740.0,7,2014,1,13,2010,"Jan,Apr,Jul,Oct"
1023,c,a,3740.0,2,2002,1,14,2011,"Jan,Apr,Jul,Oct"
1026,c,a,450.0,6,2011,1,48,2012,"Mar,Jun,Sept,Dec"
1027,a,c,190.0,6,2008,1,40,2011,"Jan,Apr,Jul,Oct"
1032,d,c,270.0,2,2013,1,40,2012,"Jan,Apr,Jul,Oct"
1039,a,c,70.0,6,1990,1,22,2012,"Mar,Jun,Sept,Dec"
1040,a,a,4030.0,2,2013,1,10,2014,"Jan,Apr,Jul,Oct"
1041,c,a,1600.0,8,2013,1,40,2014,"Jan,Apr,Jul,Oct"
1044,c,a,240.0,4,2015,1,13,2010,"Jan,Apr,Jul,Oct"
